gps_id,user_id,latitude,longitude,date_time,speed,bearing,accuracy,provider,address,driving_distance,gps_for,idle_status,last_modified_date_time
3491796,1492,10.7591199,76.74140759999999,2020-01-02 23:05:49,0,81,8946.95,network,"unnachi Bus Stop,Palakkad - Pollachi Rd,Kunnachi,Elappully-II,Kerala 678622,India",0,movement,Idle,2020-01-03 00:00:01
3491797,1492,10.7591199,76.74140759999999,2020-01-02 23:07:29,0,81,8946.95,network,"Kunnachi Bus Stop,Palakkad - Pollachi Rd,Kunnachi,Elappully-II,Kerala 678622,India",0,movement,Idle,2020-01-03 00:00:05
3491798,1492,10.7541514,76.7460967,2020-01-02 23:25:25,0,81,4962.38,network,"Unnamed Road,Elappully Thara,Elappully,Kerala 678622,India",1.451,movement,NA,2020-01-03 00:00:08
3491799,1492,10.755686099999998,76.7497036,2020-01-02 23:40:25,0,81,7826.81,network,"Palakkad - Pollachi Rd,Para,Elappully,Kerala 678622,India",1.085,movement,Idle,2020-01-03 00:00:10
3491800,1492,10.755686099999998,76.7497036,2020-01-02 23:55:25,0,81,7826.81,network,"Palakkad - Pollachi Rd,Para,Elappully,Kerala 678622,India",0,movement,Idle,2020-01-03 00:00:13
3491801,1492,10.755686099999998,76.7497036,2020-01-02 23:59:00,0,81,7826.81,network,"Palakkad - Pollachi Rd,Para,Elappully,Kerala 678622,India",0,punchOut,Idle,2020-01-03 00:00:19
3491802,1741,20.953355845995247,72.9291230533272,2020-01-02 23:59:00,0,0,25,gps,"Riddhi Siddhi Complex Tower,Tower Rd,Mangaliya Wad,Navsari,Gujarat 396445,India",0,punchOut,Idle,2020-01-03 00:05:04
3491803,1686,0,0,2020-01-02 23:59:00,0,0,0,NA,"Unknown Location",0,punchOut,NA,2020-01-03 00:07:55
3491804,1527,11.18535923123766,75.8734436244883,2020-01-02 20:48:05,0.575665,268.476,128,gps,"Kottakurumba Temple Rd,Kozhikode,Kerala 673633,India",0.944,movement,NA,2020-01-03 00:23:26
3491805,1527,11.185945844341019,75.87378121875281,2020-01-02 23:59:00,0.062313,41.5795,48,gps,"Kottakurumba Temple Rd,Kozhikode,Kerala 673633,India",0,punchOut,NA,2020-01-03 00:23:30
3491806,1265,0,0,2020-01-02 23:59:00,0,0,0,NA,"Unknown Location",0,punchOut,NA,2020-01-03 01:00:03
3491807,1597,31.2995568,75.5517295,2020-01-02 23:59:00,0,0,19.296,gps,"86/A,Dayal Nagar,Model House,Jalandhar,Punjab 144003,India",0,punchOut,Idle,2020-01-03 01:09:31
3491808,1495,23.02486946,72.54729662,2020-01-02 23:59:00,0,0,12.864,gps,"6/A,Dr Vikram Sarabhai Marg,Panchavati Society,Gulbai Tekra,Ahmedabad,Gujarat 380015,India",0,punchOut,Idle,2020-01-03 01:22:38
3491809,1704,22.366871614940464,87.55157106555998,2020-01-02 20:20:04,10.58,236.4,18.5,gps,"Egra- Pataspur- Temathani- Balichak- Debra Rd,Balichak,West Bengal 721124,India",23.05,movement,NA,2020-01-03 01:26:00
3491810,1704,22.36006068997085,87.56438112817705,2020-01-02 23:26:11,0.29,0,27.5,gps,"Balichak Radhamohanpur Rd,Balichak,West Bengal 721160,India",1.881,movement,Idle,2020-01-03 01:26:03
3491811,1704,22.36009316984564,87.56446117535233,2020-01-02 23:59:00,0.56,186.9,29.5,gps,"Balichak Radhamohanpur Rd,Balichak,West Bengal 721160,India",0,punchOut,Idle,2020-01-03 01:26:06
