gps_id,user_id,latitude,longitude,date_time,speed,bearing,accuracy,provider,address,driving_distance,gps_for,idle_status,last_modified_date_time
3494428,1667,26.40715954,80.35871673,2020-01-03 23:59:00,0.0,0.0,11.792,gps,"Unnamed Road,Shyam Nagar,Kanpur,Uttar Pradesh 208015,India",0.0,punchOut,,2020-01-04 00:13:41
3494429,1527,11.185687042951637,75.87397279103283,2020-01-03 23:59:00,0.453549,98.3615,8.0,gps,"Kottakurumba Temple Rd,Kozhikode,Kerala 673633,India",0.0,punchOut,Idle,2020-01-04 00:26:13
3494430,1741,20.94988510943949,72.9301143810153,2020-01-03 23:59:00,0.17,0.0,17.0,gps,"Mahila Vidya Bhavan,Madhumati Colony,Navsari,Gujarat 396445,India",0.0,punchOut,Idle,2020-01-04 00:32:08
3494431,1703,22.501879474148154,88.36454501375557,2020-01-03 23:59:00,0.88,267.5,9.5,gps,"6/20,Bina Kunja,Katju Nagar,Jadavpur,Kolkata,West Bengal 700032,India",7.676,punchOut,,2020-01-04 00:37:37
3494432,1495,23.58937342,72.95720315,2020-01-03 23:59:00,0.0,0.0,5.36,gps,"Kavi Shree Umashankar Joshi Bridge,GIDC,Ganotri Society,Himatnagar,Gujarat 383001,India",0.0,punchOut,,2020-01-04 00:43:34
3494433,1597,31.33609446,75.58667219,2020-01-03 23:59:00,0.0,0.0,9.648,gps,"Kishanpura Rd,Ajit Nagar,Qaji Mandi,Jalandhar,Punjab 144001,India",0.0,punchOut,Idle,2020-01-04 01:00:30
3494434,1704,22.357809310778972,87.55394406616688,2020-01-04 07:08:36,0.56,263.6,9.0,gps,"Balichak Station Road,Gholai,Balichak,West Bengal 721124,India",0.0,punchIn,Idle,2020-01-04 07:08:39
3494435,1704,22.357809310778972,87.55394406616688,2020-01-04 07:08:39,0.37,290.6,9.0,gps,"Balichak Station Road,Gholai,Balichak,West Bengal 721124,India",0.0,movement,Idle,2020-01-04 07:08:42
3494436,1704,22.354692458175126,87.60397824458778,2020-01-04 07:23:46,25.34,76.2,35.5,gps,"Chak Lalpur,West Bengal 721160,India",5.8,movement,,2020-01-04 07:23:48
3494437,1472,0.0,0.0,2020-01-04 07:34:59,0.0,0.0,0.0,,User has done Clear Data on app before Punch Out,0.0,punchOut,,2020-01-04 07:35:33
3494438,1472,22.775198943470894,88.3284127771064,2020-01-04 07:35:29,0.0,0.0,16.0,gps,"Seoraphuli Junction,Sheoraphuli,Barrackpore,West Bengal 712223,India",0.0,punchIn,Idle,2020-01-04 07:35:33
3494439,1472,22.775198943470894,88.3284127771064,2020-01-04 07:35:34,0.0,0.0,16.0,gps,"Seoraphuli Junction,Sheoraphuli,Barrackpore,West Bengal 712223,India",0.0,movement,Idle,2020-01-04 07:35:35
3494440,1704,22.401495035737753,87.8056079428643,2020-01-04 07:38:41,5.39,61.3,26.0,gps,"Unnamed Road,Kishorchak,West Bengal 721151,India",29.53,movement,,2020-01-04 07:38:47
3494441,1719,10.49397657,76.22237659999999,2020-01-04 07:50:42,0.0,0.0,10.72,gps,"CRA25,Mechur Ln,Chiyyaram,Thrissur,Kerala 680027,India",0.0,punchIn,Idle,2020-01-04 07:51:25
3494442,1719,10.49397657,76.22237659999999,2020-01-04 07:50:45,0.0,0.0,10.72,gps,"CRA25,Mechur Ln,Chiyyaram,Thrissur,Kerala 680027,India",0.0,movement,Idle,2020-01-04 07:51:27
3494443,1692,23.48780844,72.89741998,2020-01-04 07:53:17,0.63,356.4,12.864,gps,"Near SK Bank,Salal,Gujarat 383120,India",0.0,punchIn,Idle,2020-01-04 07:53:20
3494444,1692,23.48780844,72.89741998,2020-01-04 07:53:20,0.53,352.1,12.864,gps,"Near SK Bank,Salal,Gujarat 383120,India",0.0,movement,Idle,2020-01-04 07:53:22
3494445,1704,22.462770561687652,87.97104408033192,2020-01-04 07:57:42,2.28,290.7,51.5,gps,"Bagnan,Bagnan,West Bengal 711303,India",23.273000000000003,movement,,2020-01-04 07:57:46
3494446,1597,31.29966514,75.55198718,2020-01-04 08:05:10,0.0,0.0,51.456,gps,"86/A,Dayal Nagar,Model House,Jalandhar,Punjab 144003,India",0.0,punchIn,Idle,2020-01-04 08:05:12
3494447,1597,31.29966514,75.55198718,2020-01-04 08:05:12,0.0,0.0,51.456,gps,"86/A,Dayal Nagar,Model House,Jalandhar,Punjab 144003,India",0.0,movement,Idle,2020-01-04 08:05:14
3494448,1719,10.49830934,76.21871168,2020-01-04 08:05:46,8.0,281.1,23.584,gps,"SN Nagar,Koorkanchery - Chiyyaram Rd,Kannamkulangara,Thrissur,Kerala 680026,India",0.836,movement,Idle,2020-01-04 08:06:29
3494449,1726,15.82715734,74.50151503,2020-01-04 08:11:06,0.0,0.0,3.0,gps,"16/2,Chidambar Nagar,Bhagya Nagar,Angol,Belgaum,Karnataka 590006,India",0.0,punchIn,Idle,2020-01-04 08:11:08
3494450,1726,15.82715734,74.50151503,2020-01-04 08:11:09,0.0,0.0,3.0,gps,"16/2,Chidambar Nagar,Bhagya Nagar,Angol,Belgaum,Karnataka 590006,India",0.0,movement,Idle,2020-01-04 08:11:10
3494451,1244,0.0,0.0,2020-01-03 23:59:00,0.0,0.0,0.0,,Unknown Location,0.0,punchOut,,2020-01-04 08:13:53
3494452,1597,31.29966514,75.55198718,2020-01-04 08:14:57,0.0,0.0,51.456,gps,"86/A,Dayal Nagar,Model House,Jalandhar,Punjab 144003,India",0.0,movement,Idle,2020-01-04 08:14:59
3494453,1609,0.0,0.0,2020-01-03 23:59:00,0.0,0.0,0.0,0.0,Unknown Location,0.0,punchOut,,2020-01-04 08:18:47
3494454,1609,10.111366666666667,76.48304333333334,2020-01-04 08:18:57,0.0,0.0,4.7,gps,"KSRTC Bus Stand,Perumbavoor - Kuruppampady Rd,Perumbavoor,Kerala 683542,India",0.0,punchIn,Idle,2020-01-04 08:18:55
3494455,1609,10.111366666666667,76.48304333333334,2020-01-04 08:18:59,0.40971899999999994,273.05,4.7,gps,"KSRTC Bus Stand,Perumbavoor - Kuruppampady Rd,Perumbavoor,Kerala 683542,India",0.0,movement,Idle,2020-01-04 08:18:57
3494456,1704,22.503840085119013,88.1638108380139,2020-01-04 08:19:24,3.78,113.6,17.5,gps,"Bauria Jn,Alokesh Samanta,West Burikhali,Howrah-711310,Chengail Bauria Rd,Santoshpur,Nalpur,Burikhali,West Bengal 711310,India",26.413,movement,,2020-01-04 08:19:27
3494457,1704,22.52505648415536,88.18302392028272,2020-01-04 08:21:02,12.07,37.9,12.0,gps,"407,Beldubi,Nalpur,Howrah,West Bengal 711310,India",4.504,movement,,2020-01-04 08:21:05
3494458,1719,10.49830934,76.21871168,2020-01-04 08:20:46,8.0,281.1,23.584,gps,"SN Nagar,Koorkanchery - Chiyyaram Rd,Kannamkulangara,Thrissur,Kerala 680026,India",0.0,movement,Idle,2020-01-04 08:21:28
3494459,1692,23.58203,72.95828125,2020-01-04 08:25:02,7.83,358.5,15.008,gps,"Avishkar Complex ,Block-D ,1st Floor,Motipura ,Himatnagar ,Sabarkantha ,Gujarat - 383001,Block-D,Motipura Cir,GIDC,Motipura,Himatnagar,Gujarat 383001,India",12.918,movement,,2020-01-04 08:25:04
